Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes
regulation of glial cell differentiation (GO:0045685),3/6,0.0022241766503380937,1,0,0,10,61.08368476639271,EPHA4;CDK1;TNFRSF8
carboxylic acid transport (GO:0046942),8/51,0.0035689878336031453,1,0,0,3.1372549019607843,17.6799160576913,SLC16A6;SLC1A4;SLC16A9;SLC6A20;SLC16A3;SLC7A2;SLC38A5;SLC38A4
monocarboxylic acid transport (GO:0015718),8/53,0.004550781167453931,1,0,0,3.0188679245283017,16.279113586719326,SLCO1B1;STARD5;SLC10A1;SLCO1B3;SLC16A6;SLC16A9;SLC16A3;SLC27A5
positive regulation of telomerase RNA localization to Cajal body (GO:1904874),4/15,0.005444864346461733,1,0,0,5.333333333333333,27.803106327047363,SHQ1;TCP1;RUVBL1;CCT8
sensory perception of pain (GO:0019233),5/24,0.005938776132475564,1,0,0,4.166666666666667,21.359384188084036,CHRNA4;KCNA2;OPRM1;RETREG1;NIPSNAP1
positive regulation of calcium ion transmembrane transport (GO:1904427),5/25,0.007123209459613566,1,0,0,4,19.777587553293714,PDPK1;GPER1;DRD1;CASQ1;LACRT
lipoprotein biosynthetic process (GO:0042158),3/9,0.008342411451160579,1,0,0,6.666666666666666,31.90935307720135,WDR45B;ALOX12B;ATG7
DNA topological change (GO:0006265),3/9,0.008342411451160579,1,0,0,6.666666666666666,31.90935307720135,TOP2A;ERCC3;TOP1MT
membrane lipid metabolic process (GO:0006643),4/18,0.010832993829611394,1,0,0,4.444444444444444,20.111816967158788,POGLUT1;AGMO;CYP1B1;ALOX12B
regulation of telomerase RNA localization to Cajal body (GO:1904872),4/18,0.010832993829611394,1,0,0,4.444444444444444,20.111816967158788,SHQ1;TCP1;RUVBL1;CCT8
DNA conformation change (GO:0071103),4/18,0.010832993829611394,1,0,0,4.444444444444444,20.111816967158788,TOP2A;ERCC3;TOP1MT;KAT6A
regulation of NLRP3 inflammasome complex assembly (GO:1900225),3/10,0.011479073193892965,1,0,0,5.999999999999999,26.803377741534163,CPTP;PYDC2;NLRC3
negative regulation of interleukin-1 beta secretion (GO:0050713),3/10,0.011479073193892965,1,0,0,5.999999999999999,26.803377741534163,NLRP7;CPTP;PYDC2
negative regulation of lipopolysaccharide-mediated signaling pathway (GO:0031665),3/10,0.011479073193892965,1,0,0,5.999999999999999,26.803377741534163,NFKBIL1;TRIB1;LACRT
rhodopsin mediated signaling pathway (GO:0016056),3/11,0.015204352818016067,1,0,0,5.454545454545454,22.833673759197463,RHO;PDE6A;CNGB1
bile acid and bile salt transport (GO:0015721),5/30,0.01555659746473132,1,0,0,3.333333333333333,13.877568186921728,SLCO1B1;STARD5;SLC10A1;SLCO1B3;SLC27A5
steroid hormone mediated signaling pathway (GO:0043401),4/20,0.015846713681637082,1,0,0,4,16.579172555417852,RHOXF1;NR6A1;MED30;GPER1
action potential (GO:0001508),7/54,0.017451462104601394,1,0,0,2.592592592592592,10.495675155296674,KCNE2;CATSPER4;CHRNA4;GPER1;KCNA2;CACNA1A;SCN7A
positive regulation of release of sequestered calcium ion into cytosol (GO:0051281),5/31,0.017804675725432068,1,0,0,3.225806451612903,12.994497338628113,PDPK1;GPER1;DRD1;CASQ1;LACRT
negative regulation of DNA metabolic process (GO:0051053),6/43,0.01929988711082831,1,0,0,2.7906976744186043,11.016714508655674,ZRANB3;ERCC4;DPPA3;GPER1;ENPP7;ATR
regulation of systemic arterial blood pressure (GO:0003073),3/12,0.01953037772410442,1,0,0,5,19.678920967843133,PRCP;KLK2;SLC2A5
negative regulation of ATPase activity (GO:0032780),3/12,0.01953037772410442,1,0,0,5,19.678920967843133,PAM16;TLR9;VCPKMT
epithelial structure maintenance (GO:0010669),3/12,0.01953037772410442,1,0,0,5,19.678920967843133,TLR9;LACRT;PBLD
positive regulation of cardiocyte differentiation (GO:1905209),3/12,0.01953037772410442,1,0,0,5,19.678920967843133,MYOCD;GPER1;NKX2-5
negative regulation of interleukin-1 secretion (GO:0050711),3/12,0.01953037772410442,1,0,0,5,19.678920967843133,NLRP7;CPTP;PYDC2
positive regulation of calcium ion transport into cytosol (GO:0010524),5/32,0.020257193169988103,1,0,0,3.125,12.185141656980141,PDPK1;GPER1;DRD1;CASQ1;LACRT
positive regulation of proteolysis involved in cellular protein catabolic process (GO:1903052),4/22,0.022111430851613167,1,0,0,3.6363636363636362,13.860583894809807,KCNE2;CAV3;CCDC22;CTSC
negative regulation of multi-organism process (GO:0043901),5/33,0.02292040460454417,1,0,0,3.0303030303030303,11.441599195115412,NFKBIL1;ARHGDIB;TRIB1;LACRT;KRT6A
protein polymerization (GO:0051258),6/45,0.023716628785101824,1,0,0,2.6666666666666665,9.97754357432181,TRIM6;GSN;UBE2S;CASQ1;WASF3;TTC17
"Notch receptor processing, ligand-dependent (GO:0035333)",3/13,0.02446267254220388,1,0,0,4.615384615384615,17.125877967461363,NOTCH3;PSEN1;DLL1
cardiocyte differentiation (GO:0035051),3/13,0.02446267254220388,1,0,0,4.615384615384615,17.125877967461363,KDM6B;MYOCD;NKX2-5
regulation of transcription initiation from RNA polymerase II promoter (GO:0060260),3/13,0.02446267254220388,1,0,0,4.615384615384615,17.125877967461363,ATF7IP;NKX2-5;GTF2F2
chromosome condensation (GO:0030261),4/23,0.025734894590821872,1,0,0,3.4782608695652173,12.730112841155169,TOP2A;ERN2;GPER1;AKAP8L
positive regulation of ERBB signaling pathway (GO:1901186),4/23,0.025734894590821872,1,0,0,3.4782608695652173,12.730112841155169,GPER1;NUP62;AGR2;CNOT9
regulation of proteolysis involved in cellular protein catabolic process (GO:1903050),4/23,0.025734894590821872,1,0,0,3.4782608695652173,12.730112841155169,EPHA4;PSME3;PSME1;CTSC
apoptotic nuclear changes (GO:0030262),4/23,0.025734894590821872,1,0,0,3.4782608695652173,12.730112841155169,TOP2A;ERN2;GPER1;DNASE2
cellular response to amyloid-beta (GO:1904646),4/23,0.025734894590821872,1,0,0,3.4782608695652173,12.730112841155169,CACNB1;EPHA4;CACNA1A;PSEN1
cellular macromolecular complex assembly (GO:0034622),5/34,0.02579993741840051,1,0,0,2.941176470588235,10.757009449120288,SHQ1;MIA;CSNK2B;CTAGE9;PDE4DIP
lipid biosynthetic process (GO:0008610),8/72,0.026917281476999108,1,0,0,2.222222222222222,8.033303921239105,SREBF1;SRD5A1;LPCAT1;ACSM6;HSD17B8;TRERF1;AGPAT3;CBR4
peptide cross-linking (GO:0018149),6/47,0.028763410125455306,1,0,0,2.553191489361702,9.060385994914286,LCE1A;LCE2C;LCE4A;FN1;PI3;IVL
regulation of extracellular matrix disassembly (GO:0010715),3/14,0.030000982735417972,1,0,0,4.285714285714286,15.027964885753896,CARMIL2;FAP;CLASP2
negative regulation of interleukin-1 beta production (GO:0032691),3/14,0.030000982735417972,1,0,0,4.285714285714286,15.027964885753896,NLRP7;CPTP;PYDC2
regulation of ventricular cardiac muscle cell membrane repolarization (GO:0060307),3/14,0.030000982735417972,1,0,0,4.285714285714286,15.027964885753896,KCNE2;CAV3;SCN4B
glycoside metabolic process (GO:0016137),3/14,0.030000982735417972,1,0,0,4.285714285714286,15.027964885753896,AKR1B10;NAGA;CBR4
