Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes
linoleic acid metabolic process (GO:0043651),5/16,8.509919016251744e-4,1,0,0,6.25,44.18192466087702,CYP2J2;GSTP1;GSTA1;ALOX12B;ALOX12
signal transduction by p53 class mediator (GO:0072331),7/39,0.0028894498964380593,1,0,0,3.5897435897435894,20.988114869541434,HINT1;IFI16;SESN2;BCL3;MDM4;ZNF346;POU4F2
carboxylic acid metabolic process (GO:0019752),6/33,0.005343233658797252,1,0,0,3.6363636363636362,19.0251791098256,CYP2J2;PTGIS;SLC2A3;GLYAT;MIF;ACOT4
establishment of skin barrier (GO:0061436),4/16,0.006976160030101439,1,0,0,5,24.82628326271881,STMN1;ALOX12B;ALOX12;RPTN
regulation of water loss via skin (GO:0033561),4/16,0.006976160030101439,1,0,0,5,24.82628326271881,STMN1;ALOX12B;ALOX12;RPTN
epidermis development (GO:0008544),10/81,0.0070077818561398554,1,0,0,2.4691358024691357,12.248726058435684,ALDH3A2;CDSN;RBP2;DCT;CRABP2;GRHL3;ATP2C1;FOXN1;RPTN;ZNF750
maintenance of protein localization in endoplasmic reticulum (GO:0035437),3/9,0.008342411451160579,1,0,0,6.666666666666666,31.90935307720135,RER1;GPAA1;INSIG1
negative regulation of vascular endothelial growth factor receptor signaling pathway (GO:0030948),3/9,0.008342411451160579,1,0,0,6.666666666666666,31.90935307720135,HHEX;MMRN2;EPN2
microtubule nucleation (GO:0007020),4/17,0.008766901403579476,1,0,0,4.705882352941176,22.2906910717708,TUBGCP2;NDE1;RANBP9;NDEL1
chaperone-mediated protein complex assembly (GO:0051131),4/17,0.008766901403579476,1,0,0,4.705882352941176,22.2906910717708,HSP90AB1;BBS12;LONP1;HSPD1
glutathione metabolic process (GO:0006749),7/49,0.010484599803003085,1,0,0,2.8571428571428568,13.02242223966532,GGCT;GSTA5;GSTP1;GDAP1L1;GSTA1;CTNS;SOD1
prostaglandin biosynthetic process (GO:0001516),4/18,0.010832993829611394,1,0,0,4.444444444444444,20.111816967158788,CBR1;PTGIS;EDN2;MIF
superoxide anion generation (GO:0042554),3/10,0.011479073193892965,1,0,0,5.999999999999999,26.803377741534163,DUOX1;ALOX12;CYBA
positive regulation of glucose import in response to insulin stimulus (GO:2001275),3/10,0.011479073193892965,1,0,0,5.999999999999999,26.803377741534163,OSBPL8;RARRES2;PIK3R1
regulation of adenylate cyclase activity (GO:0045761),5/28,0.011645740044549789,1,0,0,3.571428571428571,15.902910097331779,GRM3;CAP1;GABBR2;HRH4;NF1
arachidonic acid metabolic process (GO:0019369),7/51,0.012969880614376915,1,0,0,2.7450980392156863,11.927795450247627,CYP2J2;CBR1;PTGIS;AWAT1;ALOX12B;ALOX12;CYP2C18
regulation of transcription factor import into nucleus (GO:0042990),4/19,0.01318872540853091,1,0,0,4.2105263157894735,18.224812421427043,NFKBIA;BCL3;NF1;PIK3R1
superoxide metabolic process (GO:0006801),5/29,0.013506098212759996,1,0,0,3.4482758620689657,14.843496469201975,DUOX1;NCF1B;ALOX12;CYBA;SOD1
regulation of phosphorylation of RNA polymerase II C-terminal domain (GO:1901407),3/11,0.015204352818016067,1,0,0,5.454545454545454,22.833673759197463,CCNT2;CCNH;PPIL4
hydrogen peroxide metabolic process (GO:0042743),4/20,0.015846713681637082,1,0,0,4,16.579172555417852,DUOX1;PRDX5;CYBA;SOD1
long-chain fatty acid metabolic process (GO:0001676),7/55,0.019161191353647928,1,0,0,2.545454545454545,10.066937565142911,CYP2J2;AWAT1;GSTP1;GSTA1;ALOX12B;ALOX12;ACOT4
intrinsic apoptotic signaling pathway by p53 class mediator (GO:0072332),6/43,0.01929988711082831,1,0,0,2.7906976744186043,11.016714508655674,HINT1;IFI16;BCL3;ZNF346;USP28;POU4F2
rRNA 3'-end processing (GO:0031125),3/12,0.01953037772410442,1,0,0,5,19.678920967843133,EXOSC7;ERI1;RPS21
regulation of viral life cycle (GO:1903900),3/12,0.01953037772410442,1,0,0,5,19.678920967843133,LAMP3;MVB12A;TRIM25
regulation of cholesterol homeostasis (GO:2000188),3/12,0.01953037772410442,1,0,0,5,19.678920967843133,VDR;NR1H2;NR1H4
activation of cysteine-type endopeptidase activity (GO:0097202),3/12,0.01953037772410442,1,0,0,5,19.678920967843133,IFI16;CIDEB;TBC1D10A
