Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes
Nicotine addiction,7/40,0.0033539251705361527,1,0,0,3.4999999999999996,19.941683742203896,GABRR3;GABRA2;GABRP;GABRA1;CHRNA4;CACNA1A;SLC17A6
Basal transcription factors,7/45,0.006578251281143788,1,0,0,3.111111111111111,15.630179698653933,GTF2A2;GTF2H2C;ERCC3;TAF10;TBPL2;GTF2H3;GTF2F2
Morphine addiction,10/91,0.015380000479957679,1,0,0,2.1978021978021975,9.175136887248412,GABRR3;GABRA2;GABRP;GABRA1;GNG2;PDE4A;CACNA1A;OPRM1;DRD1;PDE8A
Nucleotide excision repair,6/47,0.028763410125455306,1,0,0,2.553191489361702,9.060385994914286,GTF2H2C;PCNA;ERCC3;RFC2;ERCC4;GTF2H3
Bacterial invasion of epithelial cells,8/74,0.031098848162824908,1,0,0,2.1621621621621623,7.503966480103642,MAD2L2;CTTN;CAV3;ARPC3;FN1;ILK;PIK3R1;WASF2
Phototransduction,4/28,0.04895013769244342,1,0,0,2.8571428571428568,8.619865991683946,RHO;SAG;PDE6A;CNGB1
Primary bile acid biosynthesis,3/17,0.05017800549335433,1,0,0,3.5294117647058822,10.56062995015536,CYP27A1;ACOX2;SLC27A5
Insulin resistance,9/108,0.09136126354936079,1,0,0,1.6666666666666665,3.9882228378768496,GYS1;SREBF1;PDPK1;RPS6KA2;PIK3R1;SLC27A3;ACACB;SLC27A5;PTPRF
DNA replication,4/36,0.10349974906541197,1,0,0,2.222222222222222,5.040413535040945,POLA2;PCNA;RFC2;MCM2
Protein export,3/23,0.10506660809461679,1,0,0,2.6086956521739126,5.877810696891578,SEC61G;SRP68;SEC63
RIG-I-like receptor signaling pathway,6/70,0.13686946768775143,1,0,0,1.7142857142857142,3.4092473107677503,SIKE1;IFNA1;IRF3;TRADD;AZI2;IFNA8
GABAergic synapse,7/89,0.15706487379765424,1,0,0,1.5730337078651684,2.9118369551802306,GABRR3;GABRA2;GABRP;GABRA1;GNG2;CACNA1A;SLC38A5
PPAR signaling pathway,6/74,0.1647057705275506,1,0,0,1.6216216216216217,2.924748009429989,CYP27A1;ACOX2;PDPK1;ILK;APOA5;SLC27A5
Proteasome,4/45,0.18643368284604128,1,0,0,1.7777777777777777,2.98609722860718,SEM1;PSMA6;PSME3;PSME1
Synaptic vesicle cycle,6/78,0.19471584243590756,1,0,0,1.5384615384615385,2.5172523099552775,SLC1A1;CACNA1A;SLC17A6;ATP6V1D;ATP6V1C1;CPLX3
Mucin type O-glycan biosynthesis,3/31,0.20065196718317338,1,0,0,1.9354838709677418,3.1087420224475646,GALNT12;GCNT1;GALNT9
Cytosolic DNA-sensing pathway,5/63,0.20636211070548938,1,0,0,1.5873015873015872,2.504956879983314,IFNA1;IRF3;TREX1;POLR2F;IFNA8
Amino sugar and nucleotide sugar metabolism,4/48,0.21779787247025076,1,0,0,1.6666666666666665,2.540313061339135,GMPPB;CHIA;GMDS;CYB5RL
Fructose and mannose metabolism,3/33,0.22710442121127872,1,0,0,1.8181818181818181,2.695173385335862,GMPPB;AKR1B10;GMDS
Taste transduction,6/83,0.23481354624178025,1,0,0,1.4457831325301203,2.0948869879664898,GABRA2;GABRA1;CACNA1A;TAS1R2;HTR3B;TAS2R4
Steroid biosynthesis,2/19,0.24527425978553977,1,0,0,2.1052631578947367,2.958691088070133,SQLE;DHCR24
Insulin signaling pathway,9/137,0.2472046870434335,1,0,0,1.313868613138686,1.8361820930540071,GYS1;SREBF1;PRKAR1B;PDPK1;RPS6;PIK3R1;ACACB;SOCS4;PTPRF
Mineral absorption,4/51,0.2504443908625444,1,0,0,1.5686274509803921,2.171793530456325,MT1A;HEPH;MT1M;SLC30A1
Phosphonate and phosphinate metabolism,1/6,0.26493667555327055,1,0,0,3.333333333333333,4.427548139092615,CEPT1
Wnt signaling pathway,10/158,0.2669520041494197,1,0,0,1.2658227848101267,1.6717549322539331,INVS;PPP3CC;FZD4;RUVBL1;CSNK2B;RSPO3;FZD10;PSEN1;CXXC4;PRICKLE4
Autoimmune thyroid disease,4/53,0.272750159994601,1,0,0,1.5094339622641508,1.9610551964847422,HLA-DMB;IFNA1;IFNA8;HLA-E
Fanconi anemia pathway,4/54,0.2840279876642483,1,0,0,1.4814814814814814,1.8647148112043361,RMI2;ERCC4;BRCA1;ATR
Adherens junction,5/72,0.2913681345785638,1,0,0,1.3888888888888888,1.712732977852415,AFDN;CSNK2B;WASF2;PTPRF;WASF3
Fc gamma R-mediated phagocytosis,6/91,0.303383440861158,1,0,0,1.3186813186813187,1.5728674181927342,GSN;ARPC3;PIK3R1;DOCK2;WASF2;WASF3
Viral carcinogenesis,12/201,0.3054856995308486,1,0,0,1.1940298507462686,1.4159430585223085,GTF2A2;GTF2H2C;GSN;HDAC3;IRF3;TBPL2;TRADD;CDK1;CCR8;PIK3R1;GTF2H3;HLA-E
Inositol phosphate metabolism,5/74,0.31110059336369467,1,0,0,1.3513513513513513,1.577890496988918,MINPP1;PLCZ1;IMPA2;MTMR14;PLCH2
Mismatch repair,2/23,0.32060036735466374,1,0,0,1.7391304347826086,1.9783650312564471,PCNA;RFC2
Renin-angiotensin system,2/23,0.32060036735466374,1,0,0,1.7391304347826086,1.9783650312564471,PRCP;KLK2
Endometrial cancer,4/58,0.3296936338803053,1,0,0,1.379310344827586,1.5304709488498607,PDPK1;GADD45A;ILK;PIK3R1
Natural killer cell mediated cytotoxicity,8/131,0.332568609363503,1,0,0,1.2213740458015265,1.344621796912156,KLRK1;PPP3CC;IFNA1;PIK3R1;IFNA8;MICA;HLA-E;ULBP3
Herpes simplex virus 1 infection,27/492,0.3361646511754941,1,0,0,1.097560975609756,1.1965107136671458,ZNF350;IFNA1;TRADD;ZNF2;PIK3R1;IFNA8;NXF2;HLA-DMB;ZNF727;ZNF286B;ZNF248;ZNF600;ZNF786;ZNF565;ZFP37;ZNF486;ZNF440;ZNF19;EIF2AK1;CARD9;POU2F3;HLA-E;ZNF33A;IRF3;ZNF317;TLR9;ZNF596
Riboflavin metabolism,1/8,0.33662794865636386,1,0,0,2.5,2.721942421048515,FLAD1
Viral myocarditis,4/59,0.3411916398273588,1,0,0,1.3559322033898304,1.458048767361736,HLA-DMB;EIF4G3;EIF4G2;HLA-E
Steroid hormone biosynthesis,4/60,0.3527005497730227,1,0,0,1.3333333333333333,1.3895145106479536,SRD5A1;UGT2B15;CYP1B1;HSD17B8
Type I diabetes mellitus,3/43,0.36487351009848823,1,0,0,1.3953488372093021,1.4067970229812217,HLA-DMB;ICA1;HLA-E
Sulfur metabolism,1/9,0.3698097706633484,1,0,0,2.222222222222222,2.2105923086622967,SUOX
Hepatitis C,9/155,0.37149900230097443,1,0,0,1.1612903225806452,1.1499202456539444,IFNA1;IRF3;PPP2R2C;PSME3;EIF2AK1;TRADD;PIK3R1;CLDN16;IFNA8
Progesterone-mediated oocyte maturation,6/99,0.37495373657039877,1,0,0,1.2121212121212122,1.1890334906277922,MAD2L2;RPS6KA2;CDK1;PIK3R1;SPDYE5;BUB1
Folate biosynthesis,2/26,0.3759320092394212,1,0,0,1.5384615384615385,1.5051491975911149,CBR1;AKR1B10
Carbohydrate digestion and absorption,3/44,0.3786697727707907,1,0,0,1.3636363636363635,1.3242146804495836,TAS1R2;PIK3R1;SLC2A5
Measles,8/138,0.38588815366024015,1,0,0,1.1594202898550725,1.1040089378109808,IFNA1;IRF3;EIF2AK1;TRADD;CSNK2B;TLR9;PIK3R1;IFNA8
Human papillomavirus infection,18/330,0.386237671152228,1,0,0,1.0909090909090908,1.0377844043199245,NOTCH3;IFNA1;FZD4;TRADD;FN1;FZD10;PIK3R1;PSEN1;IFNA8;HLA-E;COL2A1;IRF3;PPP2R2C;TBPL2;TNR;ATP6V1D;ATP6V1C1;ATR
Basal cell carcinoma,4/63,0.38719146599357773,1,0,0,1.2698412698412698,1.204871065559935,FZD4;GADD45A;PTCH2;FZD10
Glycosphingolipid biosynthesis,3/45,0.3924009183942127,1,0,0,1.3333333333333333,1.2472949477860094,FUT7;SLC33A1;NAGA
T cell receptor signaling pathway,6/101,0.39300017337866283,1,0,0,1.188118811881188,1.109637892212941,PPP3CC;PDPK1;GRAP2;PIK3R1;BCL10;RASGRP1
AMPK signaling pathway,7/120,0.39363540297261096,1,0,0,1.1666666666666665,1.0877185331509394,RAB2A;GYS1;SREBF1;PPP2R2C;PDPK1;PIK3R1;ACACB
Collecting duct acid secretion,2/27,0.39397603610044213,1,0,0,1.4814814814814814,1.3799484349837585,ATP6V1D;ATP6V1C1
Peroxisome,5/83,0.40119924980674115,1,0,0,1.2048192771084336,1.1003579430959414,ACOX2;MPV17L;PEX5;DHRS4L1;HACL1
Type II diabetes mellitus,3/46,0.40605277189227273,1,0,0,1.3043478260869563,1.175572366691541,CACNA1A;PIK3R1;SOCS4
Shigellosis,4/65,0.41006047139933866,1,0,0,1.2307692307692308,1.0971700171589474,MAD2L2;CTTN;ARPC3;WASF2
Ether lipid metabolism,3/47,0.4196120451603213,1,0,0,1.276595744680851,1.1086272722292005,LPCAT1;CEPT1;PLD3
C-type lectin receptor signaling pathway,6/104,0.4200266801120024,1,0,0,1.1538461538461537,1.0008888988224178,PPP3CC;RRAS;CLEC6A;CARD9;PIK3R1;BCL10
JAK-STAT signaling pathway,9/162,0.4217675606505793,1,0,0,1.111111111111111,0.959223245377778,GH2;IFNL2;IFNA1;CSH1;PDGFA;PIK3R1;CSF2RA;IFNA8;SOCS4
Proteoglycans in cancer,11/201,0.42334810143404067,1,0,0,1.0945273631840795,0.940812491424585,RRAS;CTTN;CAV3;FZD4;PDPK1;RPS6;FN1;FRS2;NANOG;FZD10;PIK3R1
Cell cycle,7/124,0.42665940706055616,1,0,0,1.129032258064516,0.9616749321100159,MAD2L2;PCNA;GADD45A;CDK1;BUB1;ATR;MCM2
Taurine and hypotaurine metabolism,1/11,0.43128166280518815,1,0,0,1.8181818181818181,1.529079804244035,CDO1
Ubiquinone and other terpenoid-quinone biosynthesis,1/11,0.43128166280518815,1,0,0,1.8181818181818181,1.529079804244035,VKORC1
Notch signaling pathway,3/48,0.43306631871249,1,0,0,1.25,1.0460805021359667,NOTCH3;PSEN1;DLL1
Oocyte meiosis,7/125,0.4348899664469206,1,0,0,1.1199999999999999,0.9325816982581239,MAD2L2;PPP3CC;PLCZ1;RPS6KA2;CDK1;SPDYE5;BUB1
Protein processing in endoplasmic reticulum,9/165,0.443294181978683,1,0,0,1.0909090909090908,0.8874781763568012,DNAJB1;DNAJC1;SSR4;EIF2AK1;SEC61G;MOGS;STUB1;DDOST;SEC63
RNA transport,9/165,0.443294181978683,1,0,0,1.0909090909090908,0.8874781763568012,NXF2;NUP210;NUP50;NUP62;PHAX;UPF3A;EIF3F;EIF4G3;EIF4G2
Citrate cycle (TCA cycle),2/30,0.44657352514826887,1,0,0,1.3333333333333333,1.0748682963163632,CS;IDH3B
Kaposi sarcoma-associated herpesvirus infection,10/186,0.453202580319,1,0,0,1.075268817204301,0.8509850067631957,PPP3CC;GNG2;IFNA1;IRF3;TRADD;CCR8;PIK3R1;IFNA8;MICA;HLA-E
Autophagy,7/128,0.45946687100202477,1,0,0,1.09375,0.8505967287493645,RRAS;PDPK1;DAPK2;MTMR14;PIK3R1;ATG13;ATG7
N-Glycan biosynthesis,3/50,0.4596144044474325,1,0,0,1.2,0.9328408706750739,ALG5;MOGS;DDOST
Vibrio cholerae infection,3/50,0.4596144044474325,1,0,0,1.2,0.9328408706750739,SEC61G;ATP6V1D;ATP6V1C1
Retrograde endocannabinoid signaling,8/148,0.46236222561490486,1,0,0,1.0810810810810811,0.8339531426705211,GABRR3;GABRA2;GABRP;GABRA1;GNG2;CNR1;CACNA1A;SLC17A6
B cell receptor signaling pathway,4/71,0.47732691074516864,1,0,0,1.1267605633802817,0.8332999159019496,PPP3CC;BTK;PIK3R1;BCL10
Influenza A,9/171,0.4859894891451289,1,0,0,1.0526315789473684,0.7595455606199089,DNAJB1;NXF2;HLA-DMB;IFNA1;IRF3;EIF2AK1;PIK3R1;TMPRSS13;IFNA8
Fatty acid biosynthesis,1/13,0.48676267554205266,1,0,0,1.5384615384615385,1.107659375220991,ACACB
Non-homologous end-joining,1/13,0.48676267554205266,1,0,0,1.5384615384615385,1.107659375220991,NHEJ1
Bile secretion,4/72,0.48826565745953704,1,0,0,1.111111111111111,0.7965507124555724,SLCO1B1;SLC10A1;SLCO1B3;SLC27A5
p53 signaling pathway,4/72,0.48826565745953704,1,0,0,1.111111111111111,0.7965507124555724,GADD45A;CDK1;MDM4;ATR
mTOR signaling pathway,8/152,0.49250496644326186,1,0,0,1.0526315789473684,0.7455270887074559,FZD4;PDPK1;RPS6KA2;RPS6;FZD10;PIK3R1;ATP6V1D;ATP6V1C1
Human immunodeficiency virus 1 infection,11/212,0.49384916852357436,1,0,0,1.0377358490566038,0.7321487253023036,APOBEC3C;PPP3CC;GNG2;IFNA1;IRF3;TRADD;CDK1;PIK3R1;IFNA8;HLA-E;ATR
Glutamatergic synapse,6/114,0.5083474584006553,1,0,0,1.0526315789473684,0.7122000968180043,PPP3CC;GNG2;SLC1A1;CACNA1A;SLC17A6;HOMER3
Pentose and glucuronate interconversions,2/34,0.5125071338352726,1,0,0,1.176470588235294,0.7864007628092599,AKR1B10;UGT2B15
NF-kappa B signaling pathway,5/95,0.5184489993734346,1,0,0,1.0526315789473684,0.6914880189626921,TRADD;CSNK2B;BTK;TNFRSF13C;BCL10
Thyroid hormone signaling pathway,6/116,0.5254581276778527,1,0,0,1.0344827586206895,0.6656739028524064,NOTCH3;HDAC3;MED30;PLCZ1;PDPK1;PIK3R1
Ubiquitin mediated proteolysis,7/137,0.5314567341654012,1,0,0,1.021897810218978,0.645975826925556,UBE2W;UBOX5;UBE2S;WWP1;STUB1;BRCA1;TRIM32
Glycerophospholipid metabolism,5/97,0.5371052771771576,1,0,0,1.0309278350515463,0.6407846977351693,LPCAT1;CEPT1;AGPAT2;PLD3;AGPAT3
Human T-cell leukemia virus 1 infection,11/219,0.5376682698087102,1,0,0,1.004566210045662,0.6233469028772605,NRP1;PPP3CC;HLA-DMB;MSX2;CRTC1;TBPL2;PIK3R1;TNFRSF13C;TLN1;HLA-E;ATR
