Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes
signal peptide processing (GO:0006465),7/25,1.6625190058737664e-4,0.848383448697383,0,0,5.6000000000000005,48.73123609977917,IMMP1L;SPCS3;SPCS2;PROS1;FURIN;F2;GAS6
apoptotic cell clearance (GO:0043277),6/26,0.0014960500995122165,1,0,0,4.615384615384615,30.022739589285415,XKR8;ITGB3;RHOG;HMGB1;RAC1;GAS6
cellular response to light stimulus (GO:0071482),10/66,0.0015400571002888613,1,0,0,3.0303030303030303,19.62404783374038,YY1;KDM1A;PDE6G;ERCC4;NEDD4;GNB1;CNGA1;INO80;AURKB;TAF1
cellular defense response (GO:0006968),9/56,0.0017147470665692054,1,0,0,3.2142857142857144,20.47014543950664,SPN;NCR2;GNLY;KLRC4;CLEC5A;CD300C;LILRB2;KIR3DL2;CCR3
negative regulation of cytokinesis (GO:0032466),3/6,0.0022241766503380937,1,0,0,10,61.08368476639271,E2F7;AURKB;E2F8
positive regulation of protein acetylation (GO:1901985),3/6,0.0022241766503380937,1,0,0,10,61.08368476639271,FAM161A;KAT5;RAPGEF3
signal transduction involved in DNA damage checkpoint (GO:0072422),4/13,0.003089430511931893,1,0,0,6.153846153846154,35.56780618709874,BABAM1;CDC5L;BRCA1;DTL
positive regulation of insulin receptor signaling pathway (GO:0046628),3/7,0.0037478971295969244,1,0,0,8.571428571428571,47.88480310052898,IRS1;PRKCZ;INS
DNA synthesis involved in DNA repair (GO:0000731),9/65,0.004852134353358818,1,0,0,2.769230769230769,14.755393655941617,RAD51B;BARD1;KAT5;UBA7;UBB;RPA3;WRNIP1;BRCA1;DTL
negative regulation of protein metabolic process (GO:0051248),7/43,0.005091984867777607,1,0,0,3.255813953488372,17.19098278622693,PRNP;ITGB3;IRAK3;FMN2;LILRB2;EGFR;INS
negative regulation of cellular component organization (GO:0051129),8/54,0.00511337968954388,1,0,0,2.962962962962963,15.632280610371833,DNAJB2;DFFA;DDX3X;DNAJB6;IRAK3;PRKCZ;NOP53;RAPGEF3
endoderm development (GO:0007492),4/15,0.005444864346461733,1,0,0,5.333333333333333,27.803106327047363,DUSP1;TBX20;SOX7;MIXL1
angiogenesis involved in wound healing (GO:0060055),3/8,0.005774732022768516,1,0,0,7.5,38.65697569976054,ITGB3;NDNF;HPSE
late endosome to vacuole transport via multivesicular body sorting pathway (GO:0032511),3/8,0.005774732022768516,1,0,0,7.5,38.65697569976054,LEPROT;TMEM50B;VPS25
cardiac ventricle development (GO:0003231),4/16,0.006976160030101439,1,0,0,5,24.82628326271881,HEYL;SALL1;HES1;STRA6
artery development (GO:0060840),4/16,0.006976160030101439,1,0,0,5,24.82628326271881,HOXA1;HES1;TGFBR1;STRA6
regulation of protein acetylation (GO:1901983),3/9,0.008342411451160579,1,0,0,6.666666666666666,31.90935307720135,FAM161A;KAT5;RAPGEF3
engulfment of apoptotic cell (GO:0043652),3/9,0.008342411451160579,1,0,0,6.666666666666666,31.90935307720135,XKR8;RHOG;RAC1
negative regulation of antigen receptor-mediated signaling pathway (GO:0050858),4/17,0.008766901403579476,1,0,0,4.705882352941176,22.2906910717708,PRNP;CD300A;PTPRJ;PTPN2
negative regulation of cytokine production (GO:0001818),12/110,0.008890716934843255,1,0,0,2.1818181818181817,10.30417655480451,RPS6KA4;PRNP;CYLD;KAT5;UBA7;UBB;GPNMB;IRAK3;HMGB1;RAC1;F2;GAS6
positive regulation of stress fiber assembly (GO:0051496),6/37,0.00947038015667372,1,0,0,3.2432432432432434,15.11217155458284,TGFB3;FHOD1;LPAR1;RAC1;TGFBR1;RAPGEF3
modulation by host of viral transcription (GO:0043921),5/27,0.009967540662847309,1,0,0,3.7037037037037033,17.06822740434755,CCNT1;CCL3;RRP1B;CHD1;POU2F3
Rap protein signal transduction (GO:0032486),3/10,0.011479073193892965,1,0,0,5.999999999999999,26.803377741534163,RAPGEF1;RAPGEF2;RAPGEF3
negative regulation of protein maturation (GO:1903318),3/10,0.011479073193892965,1,0,0,5.999999999999999,26.803377741534163,PRNP;SERPINE2;GAS1
actin filament-based transport (GO:0099515),3/10,0.011479073193892965,1,0,0,5.999999999999999,26.803377741534163,SUN2;MYO5A;MYO19
regulation of astrocyte differentiation (GO:0048710),3/10,0.011479073193892965,1,0,0,5.999999999999999,26.803377741534163,SERPINE2;HES1;F2
ventricular septum development (GO:0003281),5/28,0.011645740044549789,1,0,0,3.571428571428571,15.902910097331779,HEYL;SALL1;HES1;TGFBR1;STRA6
DNA biosynthetic process (GO:0071897),6/39,0.012216841663084205,1,0,0,3.076923076923077,13.55366096929348,BARD1;RAD51B;KAT5;WRNIP1;BRCA1;TYMS
endothelial cell development (GO:0001885),4/19,0.01318872540853091,1,0,0,4.2105263157894735,18.224812421427043,RAPGEF1;RAPGEF2;F2RL1;RAPGEF3
cognition (GO:0050890),6/40,0.013780888720110962,1,0,0,2.9999999999999996,12.853417565998171,GTF2A1L;TTC8;HOXA1;LINS1;INS;STRA6
response to ionizing radiation (GO:0010212),9/77,0.014429387177365874,1,0,0,2.3376623376623376,9.908154644608496,BABAM1;RAD51B;PRKAA1;KAT5;ERCC4;FIGNL1;DMC1;BRCA1;INO80
negative regulation of cell division (GO:0051782),3/11,0.015204352818016067,1,0,0,5.454545454545454,22.833673759197463,E2F7;AURKB;E2F8
response to sterol (GO:0036314),3/11,0.015204352818016067,1,0,0,5.454545454545454,22.833673759197463,SMAD2;CCL3;TGFBR1
rhodopsin mediated signaling pathway (GO:0016056),3/11,0.015204352818016067,1,0,0,5.454545454545454,22.833673759197463,PDE6G;GNB1;CNGA1
cellular response to cAMP (GO:0071320),5/30,0.01555659746473132,1,0,0,3.333333333333333,13.877568186921728,KCNE1;RAPGEF1;RAPGEF2;AHR;RAPGEF3
cellular response to organic cyclic compound (GO:0071407),13/135,0.017785006611426558,1,0,0,1.9259259259259258,7.760324966506788,KCNE1;AHR;BRCA1;EGFR;KAT5;GNB1;NRIP1;RAPGEF1;CCL3;RAPGEF2;DRD1;RAPGEF3;TAF1
establishment of endothelial barrier (GO:0061028),4/21,0.018817877540921516,1,0,0,3.8095238095238093,15.135039725595712,RAPGEF1;RAPGEF2;F2RL1;RAPGEF3
