Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes
hepaticobiliary system development (GO:0061008),6/21,4.3681286612199635e-4,1,0,0,5.7142857142857135,44.20574673462788,NIPBL;RARA;ARID5B;PCSK9;LSR;PROX1
ear development (GO:0043583),3/6,0.0022241766503380937,1,0,0,10,61.08368476639271,NIPBL;SHROOM2;ECE1
positive regulation of T-helper 2 cell differentiation (GO:0045630),3/6,0.0022241766503380937,1,0,0,10,61.08368476639271,RARA;IL18;NLRP3
liver development (GO:0001889),6/31,0.0038666123029882523,1,0,0,3.8709677419354835,21.50468333887265,RARA;PCSK9;ARID5B;LSR;PROX1;PCK2
regulation of clathrin-dependent endocytosis (GO:2000369),4/15,0.005444864346461733,1,0,0,5.333333333333333,27.803106327047363,DAB2;BMP2K;SNAP91;SCYL2
regulation of RNA export from nucleus (GO:0046831),4/15,0.005444864346461733,1,0,0,5.333333333333333,27.803106327047363,RBM27;ZC3H3;TPR;IWS1
regulation of dopamine uptake involved in synaptic transmission (GO:0051584),3/8,0.005774732022768516,1,0,0,7.5,38.65697569976054,DRD3;DRD4;SNCA
ketone biosynthetic process (GO:0042181),3/8,0.005774732022768516,1,0,0,7.5,38.65697569976054,CYP11B2;LHB;CACNA1H
regulation of T-helper 2 cell differentiation (GO:0045628),3/8,0.005774732022768516,1,0,0,7.5,38.65697569976054,RARA;IL18;NLRP3
regulation of systemic arterial blood pressure by hormone (GO:0001990),4/16,0.006976160030101439,1,0,0,5,24.82628326271881,AVPR1B;CYP11B2;ECE1;CORIN
vacuolar proton-transporting V-type ATPase complex assembly (GO:0070072),3/9,0.008342411451160579,1,0,0,6.666666666666666,31.90935307720135,DMXL1;ATP6V0A2;TCIRG1
protein autoprocessing (GO:0016540),3/9,0.008342411451160579,1,0,0,6.666666666666666,31.90935307720135,F12;HTRA2;PCSK9
proton-transporting V-type ATPase complex assembly (GO:0070070),3/9,0.008342411451160579,1,0,0,6.666666666666666,31.90935307720135,DMXL1;ATP6V0A2;TCIRG1
regulation of receptor recycling (GO:0001919),4/17,0.008766901403579476,1,0,0,4.705882352941176,22.2906910717708,INPP5F;PCSK9;ECE1;SNCA
positive regulation of receptor recycling (GO:0001921),3/10,0.011479073193892965,1,0,0,5.999999999999999,26.803377741534163,INPP5F;ECE1;SNCA
glucocorticoid biosynthetic process (GO:0006704),3/10,0.011479073193892965,1,0,0,5.999999999999999,26.803377741534163,HSD11B1;CYP11B2;CACNA1H
positive regulation of type 2 immune response (GO:0002830),3/10,0.011479073193892965,1,0,0,5.999999999999999,26.803377741534163,RARA;IL18;NLRP3
positive regulation of type I interferon production (GO:0032481),8/62,0.01172166235636015,1,0,0,2.5806451612903225,11.474365588675184,CREBBP;TBK1;PRKDC;FLOT1;POLR2E;POLR3F;POLR3K;POLR2K
