Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes
Protein export,6/23,7.457932178697259e-4,0.22970431110387557,0,0,5.217391304347825,37.57075922100706,SRP19;IMMP1L;SPCS3;SPCS2;SRPRB;SEC62
Adherens junction,8/72,0.026917281476999108,1,0,0,2.222222222222222,8.033303921239105,SMAD2;RAC3;MAPK1;PTPRJ;RAC1;NLK;TGFBR1;EGFR
FoxO signaling pathway,12/132,0.03290365815824255,1,0,0,1.8181818181818181,6.207584431221539,SMAD2;PRKAA1;IRS1;TGFB3;BNIP3;S1PR1;MAPK1;NLK;ATG12;TGFBR1;EGFR;INS
TGF-beta signaling pathway,9/90,0.03581529681696861,1,0,0,2,6.65876038289141,TGIF1;SMAD2;TGFB3;BAMBI;BMP8A;MAPK1;PITX2;TGFBR1;DCN
N-Glycan biosynthesis,6/50,0.03757690396507332,1,0,0,2.4,7.875277616560796,ALG8;FUT8;GANAB;MAN1C1;ALG12;ALG11
Fanconi anemia pathway,6/54,0.05175964311269336,1,0,0,2.222222222222222,6.580321164119916,ERCC4;RPA3;HES1;BRCA1;FANCB;FANCF
Homologous recombination,5/41,0.05234904272896249,1,0,0,2.4390243902439024,7.194686897103624,BABAM1;BARD1;RAD51B;RPA3;BRCA1
Phospholipase D signaling pathway,12/148,0.06766615426589831,1,0,0,1.6216216216216217,4.367301342263154,DNM3;CYTH3;KITLG;GRM7;DGKA;LPAR1;MAPK1;F2;RAPGEF3;EGFR;PLD2;INS
Type II diabetes mellitus,5/46,0.07838227433911542,1,0,0,2.1739130434782608,5.535124934351927,IRS1;CACNA1B;MAPK1;PRKCZ;INS
Pancreatic cancer,7/75,0.08063866676431897,1,0,0,1.8666666666666667,4.699850414889133,SMAD2;TGFB3;RAC3;MAPK1;RAC1;TGFBR1;EGFR
Antigen processing and presentation,7/77,0.08989981224700702,1,0,0,1.8181818181818181,4.380108047221139,KLRC4;NFYC;TAP2;TAP1;KIR3DL2;HLA-F;KIR3DL3
Prion diseases,4/35,0.09558057758683013,1,0,0,2.2857142857142856,5.366367183732389,PRNP;C8G;C7;MAPK1
Autophagy,10/128,0.10797771695705811,1,0,0,1.5625,3.4778599962772243,VMP1;PRKAA1;IRS1;MTMR14;BNIP3;MAPK1;HMGB1;AMBRA1;ATG12;INS
Aldosterone-regulated sodium reabsorption,4/37,0.11170784333278796,1,0,0,2.1621621621621623,4.739174827095357,IRS1;MAPK1;SFN;INS
AGE-RAGE signaling pathway in diabetic complications,8/100,0.12742605989598135,1,0,0,1.5999999999999999,3.2963504079810266,SMAD2;COL1A2;TGFB3;COL4A4;MAPK1;RAC1;PRKCZ;TGFBR1
Pyruvate metabolism,4/39,0.1289489055490016,1,0,0,2.051282051282051,4.201721095583098,LDHB;GRHPR;FH;ACACB
Renal cell carcinoma,6/69,0.13028256049309653,1,0,0,1.7391304347826086,3.5444341652133744,FH;TGFB3;RAPGEF1;MAPK1;ELOB;RAC1
"Glycine, serine and threonine metabolism",4/40,0.1379595947094308,1,0,0,2,3.961588857315027,GRHPR;ALAS2;GCAT;GNMT
Colorectal cancer,7/86,0.1385007496507468,1,0,0,1.627906976744186,3.2181759965349643,SMAD2;TGFB3;RAC3;MAPK1;RAC1;TGFBR1;EGFR
Maturity onset diabetes of the young,3/26,0.1385193121264188,1,0,0,2.3076923076923075,4.561720443090936,HES1;BHLHA15;INS
Rap1 signaling pathway,14/206,0.15170562792130884,1,0,0,1.3592233009708736,2.5632413708877233,ITGB3;LPAR1;GNAI3;SIPA1L2;PRKCZ;EGFR;INS;KITLG;RAPGEF1;RAC3;RAPGEF2;MAPK1;RAC1;RAPGEF3
Phototransduction,3/28,0.16255339603696525,1,0,0,2.142857142857143,3.893033014692501,PDE6G;GNB1;CNGA1
Lysosome,9/123,0.16278961618226181,1,0,0,1.4634146341463412,2.6565316245543467,SCARB2;NAPSA;FUCA1;PSAP;M6PR;SLC17A5;ARSG;MCOLN1;LIPA
Endocytosis,16/244,0.16358113039626518,1,0,0,1.3114754098360655,2.3743556738908524,PSD;SMAD2;IQSEC3;ASAP2;HLA-F;PRKCZ;EGFR;RAB11A;TGFBR1;PLD2;DNM3;CYTH3;UBB;NEDD4;IL2RB;VPS25
Viral myocarditis,5/59,0.17159602546898528,1,0,0,1.694915254237288,2.987478396269761,SGCB;RAC3;RAC1;HLA-F;MYH6
Parkinson disease,10/142,0.17391136269914045,1,0,0,1.408450704225352,2.4636753793463417,UCHL1;UBA7;UBB;NDUFB11;NDUFS3;GNAI3;NDUFV3;DRD1;SDHA;SLC6A3
Long-term depression,5/60,0.18006686918004597,1,0,0,1.6666666666666665,2.8573783360576237,RYR1;GRID2;CRH;GNAI3;MAPK1
ABC transporters,4/45,0.18643368284604128,1,0,0,1.7777777777777777,2.98609722860718,ABCA6;TAP2;TAP1;ABCB11
Basal transcription factors,4/45,0.18643368284604128,1,0,0,1.7777777777777777,2.98609722860718,GTF2A1L;GTF2H1;GTF2E1;TAF1
Relaxin signaling pathway,9/130,0.20317246774459144,1,0,0,1.3846153846153846,2.206661629625701,SMAD2;COL1A2;COL4A4;GNB1;GNAI3;MAPK1;PRKCZ;TGFBR1;EGFR
"Phenylalanine, tyrosine and tryptophan biosynthesis",1/5,0.22623900494711593,1,0,0,4,5.9446531780071785,IL4I1
Spliceosome,9/134,0.2279349849994822,1,0,0,1.3432835820895521,1.9863065071379982,ISY1-RAB43;RBM25;EIF4A3;DDX23;SNRPG;DDX42;CDC5L;PRPF40A;HNRNPA1L2
HIF-1 signaling pathway,7/100,0.2335936861063974,1,0,0,1.4000000000000001,2.035840879866453,EIF4E1B;MAPK1;ELOB;CAMK2G;EGFR;PDK1;INS
Human cytomegalovirus infection,14/225,0.2369606122014638,1,0,0,1.2444444444444442,1.7918274514328554,IFNA7;PTGER1;ITGB3;GNAI3;TAP2;TAP1;HLA-F;EGFR;GNB1;CCL3;RAC3;MAPK1;RAC1;CCR3
