Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes
Fatty acid degradation,8/44,0.0013515484503978025,0.4162769227225232,0,0,3.6363636363636362,24.023652158325085,ACAA2;ADH1C;ALDH1B1;ACSL1;CYP4A11;HADH;ACADS;ADH5
"Valine, leucine and isoleucine degradation",7/48,0.009381035119053851,1,0,0,2.9166666666666665,13.618106740609136,ALDH6A1;ACAA2;ALDH1B1;OXCT1;HMGCS2;HADH;ACADS
Cytosolic DNA-sensing pathway,8/63,0.012855695577887951,1,0,0,2.5396825396825395,11.057697346558735,TBK1;CCL5;IL18;POLR2E;POLR3F;CGAS;POLR3K;POLR2K
Retinol metabolism,8/67,0.018203070712224476,1,0,0,2.388059701492537,9.566961143114478,UGT1A1;ADH1C;DHRS9;CYP4A11;UGT2B28;LRAT;CYP3A5;ADH5
Legionellosis,7/55,0.019161191353647928,1,0,0,2.545454545454545,10.066937565142911,BCL2L13;VCP;SAR1B;CASP3;RAB1B;IL18;TLR5
Drug metabolism,11/108,0.019216395842713684,0.9864416532593024,0,0,2.0370370370370368,8.05035288080842,RRM2;UGT1A1;GSTO2;ADH1C;GSTO1;UGT2B28;FMO1;MPO;CYP3A5;ADH5;NME1
Metabolism of xenobiotics by cytochrome P450,8/74,0.031098848162824908,1,0,0,2.1621621621621623,7.503966480103642,HSD11B1;UGT1A1;GSTO2;ADH1C;GSTO1;UGT2B28;CYP3A5;ADH5
Complement and coagulation cascades,8/79,0.043440838071242584,1,0,0,2.0253164556962022,6.35211202212957,C4A;F12;FGG;F11;C4BPA;F13B;F3;CFB
Butanoate metabolism,4/28,0.04895013769244342,1,0,0,2.8571428571428568,8.619865991683946,OXCT1;HMGCS2;HADH;ACADS
Chemical carcinogenesis,8/82,0.05220786888704381,1,0,0,1.951219512195122,5.7610186351061445,HSD11B1;UGT1A1;GSTO2;ADH1C;GSTO1;UGT2B28;CYP3A5;ADH5
Pantothenate and CoA biosynthesis,3/19,0.06645795649124922,1,0,0,3.157894736842105,8.561639256247336,VNN2;PPCDC;COASY
RNA polymerase,4/31,0.06697579978121662,1,0,0,2.5806451612903225,6.976577863571356,POLR2E;POLR3F;POLR3K;POLR2K
Viral myocarditis,6/59,0.073523209939382,1,0,0,2.0338983050847457,5.308788083641293,SGCD;CASP3;HLA-C;ABL2;SGCG;MYH6
Steroid hormone biosynthesis,6/60,0.07841676268446238,1,0,0,2,5.091435129458053,HSD11B1;UGT1A1;CYP11B2;UGT2B28;HSD17B7;CYP3A5
Pertussis,7/76,0.08519720761440963,1,0,0,1.8421052631578945,4.536712195036593,C4A;MAPK11;SFTPA2;CASP3;NLRP3;C4BPA;GNAI1
Synthesis and degradation of ketone bodies,2/10,0.08609691405925976,1,0,0,4,9.809126838186547,OXCT1;HMGCS2
Insulin resistance,9/108,0.09136126354936079,1,0,0,1.6666666666666665,3.9882228378768496,RPS6KA3;RPS6KA6;TBC1D4;NR1H2;MLX;PPP1R3A;PYGL;FOXO1;PCK2
Tyrosine metabolism,4/36,0.10349974906541197,1,0,0,2.222222222222222,5.040413535040945,PNMT;ADH1C;HGD;ADH5
Epithelial cell signaling in Helicobacter pylori infection,6/68,0.12385227423087532,1,0,0,1.7647058823529411,3.685880753701308,MAPK11;CASP3;CCL5;ATP6V0A2;TCIRG1;MAP3K14
alpha-Linolenic acid metabolism,3/25,0.1269942219814603,1,0,0,2.4,4.9526728554420085,FADS2;PLA2G12A;PLA2G4E
Non-homologous end-joining,2/13,0.13537899404817505,1,0,0,3.076923076923077,6.1528525246417765,PRKDC;POLL
Glutathione metabolism,5/56,0.14716977791840904,1,0,0,1.7857142857142856,3.4217292978951037,GCLC;RRM2;GSTO2;GSTO1;OPLAH
Ascorbate and aldarate metabolism,3/27,0.15038161447469178,1,0,0,2.222222222222222,4.210175820273459,ALDH1B1;UGT1A1;UGT2B28
Fatty acid elongation,3/27,0.15038161447469178,1,0,0,2.222222222222222,4.210175820273459,ACAA2;THEM4;HADH
Arrhythmogenic right ventricular cardiomyopathy (ARVC),6/72,0.15049803689681743,1,0,0,1.6666666666666665,3.1563420645887432,SGCD;ITGB8;CTNNA3;ITGB6;SGCG;DSC2
Tryptophan metabolism,4/42,0.1567023472093967,1,0,0,1.9047619047619047,3.5302993347271023,TPH1;ALDH1B1;KYNU;HADH
Inositol phosphate metabolism,6/74,0.1647057705275506,1,0,0,1.6216216216216217,2.924748009429989,ITPKB;ALDH6A1;INPP5F;INPP1;PIP5KL1;PLCH2
NOD-like receptor signaling pathway,12/178,0.18130858981611203,1,0,0,1.348314606741573,2.302321056168353,GSDMD;MAPK11;CASR;TBK1;NLRP7;CCL5;TRAF5;IL18;TXNIP;NLRP3;GBP2;TXN2
Cysteine and methionine metabolism,4/47,0.20718336704116536,1,0,0,1.7021276595744679,2.679406036964871,DNMT1;GCLC;TST;MTR
Base excision repair,3/33,0.22710442121127872,1,0,0,1.8181818181818181,2.695173385335862,NEIL3;MPG;POLL
Long-term potentiation,5/67,0.2431934021901658,1,0,0,1.4925373134328357,2.1102959080752326,GRIA1;RPS6KA3;RPS6KA6;CREBBP;GRIN1
Amyotrophic lateral sclerosis (ALS),4/51,0.2504443908625444,1,0,0,1.5686274509803921,2.171793530456325,GRIA1;MAPK11;CASP3;GRIN1
One carbon pool by folate,2/20,0.2641503607881601,1,0,0,2,2.66247357905395,DHFR;MTR
Lysosome,8/123,0.27337366492441967,1,0,0,1.3008130081300813,1.6870447917730367,ARSA;GGA1;GGA3;LAMP3;PSAP;ATP6V0A2;TCIRG1;MCOLN1
Protein digestion and absorption,6/90,0.29459151170537495,1,0,0,1.3333333333333333,1.6295541177562636,COL17A1;COL27A1;KCNE3;SLC7A9;XPNPEP2;COL11A1
Rheumatoid arthritis,6/91,0.303383440861158,1,0,0,1.3186813186813187,1.5728674181927342,CCL3L1;ANGPT1;CCL5;IL18;ATP6V0A2;TCIRG1
PPAR signaling pathway,5/74,0.31110059336369467,1,0,0,1.3513513513513513,1.577890496988918,FADS2;ACSL1;CYP4A11;HMGCS2;PCK2
Protein export,2/23,0.32060036735466374,1,0,0,1.7391304347826086,1.9783650312564471,SRP14;SRP9
Leukocyte transendothelial migration,7/112,0.3278524235285864,1,0,0,1.25,1.3939896251407393,MAPK11;MYL7;VCAM1;CLDN19;CLDN18;CTNNA3;GNAI1
Sulfur relay system,1/8,0.33662794865636386,1,0,0,2.5,2.721942421048515,TST
Vitamin digestion and absorption,2/24,0.33921547884608483,1,0,0,1.6666666666666665,1.8018662378583004,SLC5A6;LRAT
Lysine degradation,4/59,0.3411916398273588,1,0,0,1.3559322033898304,1.458048767361736,PRDM9;ALDH1B1;EHMT2;HADH
Glycerophospholipid metabolism,6/97,0.3569285827398046,1,0,0,1.2371134020618557,1.2744984316239885,PTDSS1;PLA2G12A;DGKB;PLA2G4E;CHAT;AGPAT1
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,2/25,0.3576694978288805,1,0,0,1.5999999999999999,1.645033455050064,PIGO;PIGW
Glycerolipid metabolism,4/61,0.36421006738242967,1,0,0,1.3114754098360655,1.3246222552325246,ALDH1B1;DGKB;LIPG;AGPAT1
Sulfur metabolism,1/9,0.3698097706633484,1,0,0,2.222222222222222,2.2105923086622967,TST
Progesterone-mediated oocyte maturation,6/99,0.37495373657039877,1,0,0,1.2121212121212122,1.1890334906277922,RPS6KA3;MAPK11;RPS6KA6;SPDYE16;SPDYE6;GNAI1
Folate biosynthesis,2/26,0.3759320092394212,1,0,0,1.5384615384615385,1.5051491975911149,DHFR;TPH1
Human papillomavirus infection,18/330,0.386237671152228,1,0,0,1.0909090909090908,1.0377844043199245,CREBBP;HLA-C;FZD8;CHD4;LAMB1;RFNG;TCIRG1;FOXO1;THBS3;TBK1;HEY1;TBPL2;CASP3;ATP6V0A2;ITGB8;ITGB6;HES3;CSNK1A1L
Basal transcription factors,3/45,0.3924009183942127,1,0,0,1.3333333333333333,1.2472949477860094,TAF13;TBPL2;GTF2E2
Glycosphingolipid biosynthesis,3/45,0.3924009183942127,1,0,0,1.3333333333333333,1.2472949477860094,FUT5;ST8SIA1;ST6GALNAC3
Biosynthesis of unsaturated fatty acids,2/27,0.39397603610044213,1,0,0,1.4814814814814814,1.3799484349837585,FADS2;FADS1
Collecting duct acid secretion,2/27,0.39397603610044213,1,0,0,1.4814814814814814,1.3799484349837585,ATP6V0A2;TCIRG1
Mitophagy,4/65,0.41006047139933866,1,0,0,1.2307692307692308,1.0971700171589474,BNIP3L;BCL2L13;TBK1;FUNDC1
Phototransduction,2/28,0.4117777723443979,1,0,0,1.4285714285714284,1.2675306609542623,GUCA1A;CNGB1
Ether lipid metabolism,3/47,0.4196120451603213,1,0,0,1.276595744680851,1.1086272722292005,PLA2G12A;PLA2G4E;ENPP2
Toll-like receptor signaling pathway,6/104,0.4200266801120024,1,0,0,1.1538461538461537,1.0008888988224178,MAPK11;TBK1;CCL3L1;CCL5;LBP;TLR5
Hypertrophic cardiomyopathy (HCM),5/85,0.42118396120911705,1,0,0,1.176470588235294,1.0172771508801166,SGCD;ITGB8;ITGB6;SGCG;MYH6
Linoleic acid metabolism,2/29,0.42931633359945176,1,0,0,1.379310344827586,1.1662913895494167,PLA2G12A;PLA2G4E
Salmonella infection,5/86,0.4311336138274714,1,0,0,1.1627906976744184,0.9782991023729873,MAPK11;CCL3L1;IL18;LBP;TLR5
Notch signaling pathway,3/48,0.43306631871249,1,0,0,1.25,1.0460805021359667,NCOR2;CREBBP;RFNG
Glycolysis / Gluconeogenesis,4/68,0.44400267624141365,1,0,0,1.176470588235294,0.9552055164674429,ADH1C;ALDH1B1;ADH5;PCK2
Malaria,3/49,0.44640402063272916,1,0,0,1.2244897959183672,0.987588809585937,VCAM1;IL18;THBS3
Ovarian steroidogenesis,3/49,0.44640402063272916,1,0,0,1.2244897959183672,0.987588809585937,PLA2G4E;LHB;HSD17B7
Citrate cycle (TCA cycle),2/30,0.44657352514826887,1,0,0,1.3333333333333333,1.0748682963163632,SUCLG1;PCK2
Cholesterol metabolism,3/50,0.4596144044474325,1,0,0,1.2,0.9328408706750739,LIPG;PCSK9;LPA
beta-Alanine metabolism,2/31,0.46353362563600886,1,0,0,1.2903225806451613,0.9920985153401862,ALDH6A1;ALDH1B1
TNF signaling pathway,6/110,0.4734883847029237,1,0,0,1.0909090909090908,0.8155940698683591,MAPK11;VCAM1;CASP3;CCL5;TRAF5;MAP3K14
Propanoate metabolism,2/32,0.4801831856912929,1,0,0,1.25,0.9169845137852034,ALDH6A1;SUCLG1
Dilated cardiomyopathy (DCM),5/91,0.48023571472567267,1,0,0,1.0989010989010988,0.8060200255732013,SGCD;ITGB8;ITGB6;SGCG;MYH6
Fc gamma R-mediated phagocytosis,5/91,0.48023571472567267,1,0,0,1.0989010989010988,0.8060200255732013,MYO10;PLA2G4E;BIN1;ASAP3;WASF3
Fatty acid biosynthesis,1/13,0.48676267554205266,1,0,0,1.5384615384615385,1.107659375220991,ACSL1
Bile secretion,4/72,0.48826565745953704,1,0,0,1.111111111111111,0.7965507124555724,AQP8;AQP4;SLC51A;SLC9A1
p53 signaling pathway,4/72,0.48826565745953704,1,0,0,1.111111111111111,0.7965507124555724,RRM2;CD82;SIVA1;CASP3
Vascular smooth muscle contraction,7/132,0.49185149962456454,1,0,0,1.0606060606060606,0.7525831919041477,PLA2G12A;KCNU1;CALCB;AVPR1B;PLA2G4E;CYP4A11;ACTG2
