"","h3k27ac","atac","nIterations","p.value","z.score","alternative"
"1","ret_27ac_joined_masked","NormPer1ATAC_RPE","100","0.0099009900990099","-69.5398","less"
"2","ret_27ac_joined_masked","AMDPerLateATAC_RPE","100","0.0099009900990099","-34.4767","less"
"3","ret_27ac_joined_masked","AMDPerEarlyATAC_RPE","100","0.0099009900990099","-50.8066","less"
"4","rpe_27ac_joined_masked","NormPer1ATAC_RPE","100","0.0099009900990099","21.2043","greater"
"5","rpe_27ac_joined_masked","AMDPerLateATAC_RPE","100","0.0099009900990099","31.9865","greater"
"6","rpe_27ac_joined_masked","AMDPerEarlyATAC_RPE","100","0.0099009900990099","28.708","greater"
"7","mac_27ac_joined_masked","NormPer1ATAC_RPE","100","0.0099009900990099","5.6083","greater"
"8","mac_27ac_joined_masked","AMDPerLateATAC_RPE","100","0.0099009900990099","22.6987","greater"
"9","mac_27ac_joined_masked","AMDPerEarlyATAC_RPE","100","0.0099009900990099","17.1021","greater"
"10","crx_masked","NormPer1ATAC_RPE","100","0.0099009900990099","-76.9951","less"
"11","crx_masked","AMDPerLateATAC_RPE","100","0.0099009900990099","-56.3737","less"
"12","crx_masked","AMDPerEarlyATAC_RPE","100","0.0099009900990099","-67.3159","less"
"13","input_masked","NormPer1ATAC_RPE","100","0.0099009900990099","-13.7229","less"
"14","input_masked","AMDPerLateATAC_RPE","100","0.0099009900990099","-10.695","less"
"15","input_masked","AMDPerEarlyATAC_RPE","100","0.0099009900990099","-11.2832","less"
