Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes
I-kappaB kinase/NF-kappaB signaling (GO:0007249),9/57,0.0019476099239263613,1,0,0,3.157894736842105,19.708902120645355,IKBKB;NFKBIA;IRAK1BP1;IRAK2;BCL3;RBCK1;CD14;UBA52;MAP3K14
hippo signaling (GO:0035329),6/30,0.0032536223155712174,1,0,0,4,22.91194537865016,LATS1;MOB1B;WWTR1;LATS2;MAP3K14;AJUBA
regulation of DNA binding (GO:0051101),8/52,0.004036933812583697,1,0,0,3.076923076923077,16.96083025367454,PRKN;NFKBIA;ID2;ID1;BCL3;RSF1;HDAC8;NME1
Golgi to lysosome transport (GO:0090160),3/8,0.005774732022768516,1,0,0,7.5,38.65697569976054,AP4M1;EHD3;ANKFY1
cellular defense response (GO:0006968),8/56,0.006396436021663812,1,0,0,2.8571428571428568,14.434326615263213,SPN;NCR2;CXCL9;GNLY;ADORA2B;PRF1;CCR6;ZNF148
negative regulation of lipid storage (GO:0010888),4/16,0.006976160030101439,1,0,0,5,24.82628326271881,CRP;ABCA1;NFKBIA;IL6
prostaglandin metabolic process (GO:0006693),5/25,0.007123209459613566,1,0,0,4,19.777587553293714,CD74;HPGD;ABHD16A;ACOX1;AKR1C3
negative regulation of lipid localization (GO:1905953),3/9,0.008342411451160579,1,0,0,6.666666666666666,31.90935307720135,CRP;NFKBIA;IL6
positive regulation of protein processing (GO:0010954),4/17,0.008766901403579476,1,0,0,4.705882352941176,22.2906910717708,GSN;ASTL;HPN;ANGPTL8
positive regulation of chemotaxis (GO:0050921),7/48,0.009381035119053851,1,0,0,2.9166666666666665,13.618106740609136,CXCL9;IL6;RARRES2;MET;CXCL5;CCR2;CCL26
regulation of lipid metabolic process (GO:0019216),11/100,0.011272773307998182,1,0,0,2.1999999999999997,9.867802785301508,ABCA1;PANK2;ACOX1;RARRES2;ID2;ANGPTL8;RORA;NR1D1;CD36;NPAS2;PPARD
organic substance transport (GO:0071702),10/87,0.011430916732415513,1,0,0,2.2988505747126435,10.279157701909751,SLC22A23;ABCA1;CUBN;SLCO2A1;NME4;APOA4;SLC50A1;ABCC11;RHBG;RHCE
vesicle transport along microtubule (GO:0047496),4/19,0.01318872540853091,1,0,0,4.2105263157894735,18.224812421427043,CLN3;KIF13A;BICDL1;PAFAH1B1
regulation of macrophage derived foam cell differentiation (GO:0010743),5/29,0.013506098212759996,1,0,0,3.4482758620689657,14.843496469201975,CRP;ABCA1;NFKBIA;PRKCH;CD36
regulation of cellular metabolic process (GO:0031323),6/41,0.01547935582050457,1,0,0,2.9268292682926824,12.19975031809441,ANKRD13C;PRKN;PANK2;ANGPTL8;FLOT1;TBC1D16
vacuolar acidification (GO:0007035),4/20,0.015846713681637082,1,0,0,4,16.579172555417852,CLN3;DMXL1;DMXL2;ATP6V0D2
regulation of lipoprotein lipase activity (GO:0051004),4/20,0.015846713681637082,1,0,0,4,16.579172555417852,APOH;ANGPTL8;APOA4;PCSK6
intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator (GO:0042771),4/20,0.015846713681637082,1,0,0,4,16.579172555417852,BCL3;EP300;USP28;TP73
striated muscle cell development (GO:0055002),4/20,0.015846713681637082,1,0,0,4,16.579172555417852,TMOD3;TMOD2;LMOD1;MYOZ3
secondary alcohol metabolic process (GO:1902652),5/31,0.017804675725432068,1,0,0,3.225806451612903,12.994497338628113,ABCA1;OSBPL5;LCAT;APOA4;PPARD
prostanoid metabolic process (GO:0006692),3/12,0.01953037772410442,1,0,0,5,19.678920967843133,HPGD;ACOX1;AKR1C3
positive regulation of cell cycle arrest (GO:0071158),9/82,0.02105745765548775,1,0,0,2.195121951219512,8.474269387337754,MED25;PCNA;PRMT1;CNOT2;ID2;EP300;GTSE1;UBA52;TP73
cellular glucose homeostasis (GO:0001678),5/33,0.02292040460454417,1,0,0,3.0303030303030303,11.441599195115412,ERN1;TRA2B;PCK1;FOXO1;GCK
negative regulation of macrophage derived foam cell differentiation (GO:0010745),3/13,0.02446267254220388,1,0,0,4.615384615384615,17.125877967461363,CRP;ABCA1;NFKBIA
sensory perception of taste (GO:0050909),3/13,0.02446267254220388,1,0,0,4.615384615384615,17.125877967461363,TAS1R2;TAS1R1;CD36
positive regulation of alpha-beta T cell proliferation (GO:0046641),3/13,0.02446267254220388,1,0,0,4.615384615384615,17.125877967461363,IL23A;EBI3;CCR2
negative regulation of interleukin-10 production (GO:0032693),3/13,0.02446267254220388,1,0,0,4.615384615384615,17.125877967461363,IL23A;DLL1;AGER
cellular response to amyloid-beta (GO:1904646),4/23,0.025734894590821872,1,0,0,3.4782608695652173,12.730112841155169,GRM5;ADRB2;CD36;AGER
lysosomal transport (GO:0007041),8/72,0.026917281476999108,1,0,0,2.222222222222222,8.033303921239105,AP4M1;PRKN;EHD3;KIF13A;ANKFY1;ADRB2;NAGPA;GPRASP1
regulation of fat cell differentiation (GO:0045598),8/72,0.026917281476999108,1,0,0,2.222222222222222,8.033303921239105,IL6;LMO3;RARRES2;RORA;CREBL2;NR1D1;FOXO1;PPARD
positive regulation of cellular biosynthetic process (GO:0031328),14/159,0.02855413663371373,1,0,0,1.761006289308176,6.2620564119984055,GUCY2C;HSP90AB1;PCNA;YTHDF3;EPO;AGXT2;PRMT1;CIRBP;APOA4;NR1D1;GCK;IL6;BCL3;CD36
positive regulation of NIK/NF-kappaB signaling (GO:1901224),5/35,0.02890077475508324,1,0,0,2.8571428571428568,10.125391074539182,PTP4A3;TNFSF15;TNFRSF10B;CD14;AGER
regulation of chromosome organization (GO:0033044),4/24,0.02969412469495944,1,0,0,3.333333333333333,11.722686914871057,PIF1;RMI2;MKI67;HDAC8
negative regulation of intrinsic apoptotic signaling pathway by p53 class mediator (GO:1902254),3/14,0.030000982735417972,1,0,0,4.285714285714286,15.027964885753896,PRKN;CD74;TAF9B
neuromuscular process controlling balance (GO:0050885),3/14,0.030000982735417972,1,0,0,4.285714285714286,15.027964885753896,CLN3;USH1C;PAFAH1B1
Golgi to vacuole transport (GO:0006896),3/14,0.030000982735417972,1,0,0,4.285714285714286,15.027964885753896,AP4M1;EHD3;ANKFY1
fatty acid transport (GO:0015908),3/14,0.030000982735417972,1,0,0,4.285714285714286,15.027964885753896,SLC25A17;SLCO2A1;PPARD
regulation of response to DNA damage stimulus (GO:2001020),5/36,0.032227243715029656,1,0,0,2.7777777777777777,9.541508627909957,ANKLE1;PARG;ARMT1;FEM1B;NPAS2
glutamate receptor signaling pathway (GO:0007215),5/36,0.032227243715029656,1,0,0,2.7777777777777777,9.541508627909957,GRIA2;CLN3;GRM5;GRIK3;GRIN2B
negative regulation of stress-activated protein kinase signaling cascade (GO:0070303),2/6,0.032750693472061776,1,0,0,6.666666666666666,22.792207616037423,IGBP1;FOXO1
activation of transmembrane receptor protein tyrosine kinase activity (GO:0007171),2/6,0.032750693472061776,1,0,0,6.666666666666666,22.792207616037423,ANGPT1;ADRB2
platelet dense granule organization (GO:0060155),2/6,0.032750693472061776,1,0,0,6.666666666666666,22.792207616037423,ABCA1;F2RL3
regulation of glucokinase activity (GO:0033131),2/6,0.032750693472061776,1,0,0,6.666666666666666,22.792207616037423,PRKN;MIDN
ammonium transmembrane transport (GO:0072488),2/6,0.032750693472061776,1,0,0,6.666666666666666,22.792207616037423,RHBG;RHCE
regulation of glial cell apoptotic process (GO:0034350),2/6,0.032750693472061776,1,0,0,6.666666666666666,22.792207616037423,PRKCH;DLL1
cellular response to bacterial lipopeptide (GO:0071221),2/6,0.032750693472061776,1,0,0,6.666666666666666,22.792207616037423,CD14;CD36
mitochondrial RNA processing (GO:0000963),2/6,0.032750693472061776,1,0,0,6.666666666666666,22.792207616037423,ELAC2;HSD17B10
cellular response to cold (GO:0070417),2/6,0.032750693472061776,1,0,0,6.666666666666666,22.792207616037423,NFKBIA;FOXO1
