Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes
tRNA methylation (GO:0030488),6/26,0.0014960500995122165,1,0,0,4.615384615384615,30.022739589285415,TRMT112;TRMT1;MTO1;FTSJ1;ALKBH8;TARBP1
negative regulation of cardiocyte differentiation (GO:1905208),3/7,0.0037478971295969244,1,0,0,8.571428571428571,47.88480310052898,HEY2;FRS2;DKK1
purine-containing compound salvage (GO:0043101),4/14,0.004155574183572428,1,0,0,5.7142857142857135,31.333169538457483,DGUOK;GMPR2;GMPR;PRTFDC1
vasculogenesis (GO:0001570),6/32,0.004561104727721087,1,0,0,3.75,20.213214074797936,PDGFRB;APELA;NOTCH1;HEY2;TNNI3;CCM2
"DNA-templated transcription, termination (GO:0006353)",12/106,0.0066637026331270175,1,0,0,2.2641509433962264,11.345841504890547,CPSF7;DDX39B;RBM8A;PABPN1;CCNH;SRSF4;SNRPD3;SMN1;TTF1;POLR3K;SRSF11;SNRPB
response to muscle stretch (GO:0035994),3/9,0.008342411451160579,1,0,0,6.666666666666666,31.90935307720135,NPPA;ANKRD1;TCAP
negative regulation of protein exit from endoplasmic reticulum (GO:0070862),3/9,0.008342411451160579,1,0,0,6.666666666666666,31.90935307720135,INSIG1;DERL2;UBAC2
regulation of p38MAPK cascade (GO:1900744),5/26,0.008463012749957347,1,0,0,3.8461538461538463,18.354038660547634,DLG1;DUSP10;NCF1;GADD45B;MINK1
nucleobase-containing compound biosynthetic process (GO:0034654),4/17,0.008766901403579476,1,0,0,4.705882352941176,22.2906910717708,DGUOK;GMPR2;GMPR;POLL
regulation of astrocyte differentiation (GO:0048710),3/10,0.011479073193892965,1,0,0,5.999999999999999,26.803377741534163,NOTCH1;SERPINE2;NOG
MAPK cascade (GO:0000165),23/278,0.012683558996089275,1,0,0,1.6546762589928057,7.2267136620796,PDGFRB;CAMK2B;PSMD11;PSMD14;EGF;RASGRF2;MINK1;RASGRF1;CUL1;FRS2;BRAF;MT3;DUSP7;MAPK8;PSMA4;PABPN1;ERBB3;PSMA2;UBC;NEFL;CCM2;IKBKG;CCR5
muscle tissue morphogenesis (GO:0060415),4/19,0.01318872540853091,1,0,0,4.2105263157894735,18.224812421427043,NOTCH1;HEY2;ANKRD1;TCAP
cellular response to cadmium ion (GO:0071276),5/29,0.013506098212759996,1,0,0,3.4482758620689657,14.843496469201975,MAPK9;MAPK8;NCF1;MT1M;MT3
regulation of cytokine-mediated signaling pathway (GO:0001959),10/90,0.01430957725527265,1,0,0,2.222222222222222,9.437391617244035,CD74;MADD;UBC;TNFAIP3;LIFR;IKBKG;RBCK1;CD24;BIRC2;IFNA21
"synaptic transmission, GABAergic (GO:0051932)",3/11,0.015204352818016067,1,0,0,5.454545454545454,22.833673759197463,GABRB2;GABRE;GABRG1
cellular response to reactive oxygen species (GO:0034614),8/65,0.015361461773367072,1,0,0,2.4615384615384617,10.279122186470978,MAPK9;MAPK8;PRDX5;NCF1;KCNC2;TNFAIP3;MT3;NFE2L2
regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway (GO:1900739),5/30,0.01555659746473132,1,0,0,3.333333333333333,13.877568186921728,MAPK8;BAD;NMT1;DYNLL1;BBC3
positive regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0045737),5/30,0.01555659746473132,1,0,0,3.333333333333333,13.877568186921728,CCND2;CCNH;MAPRE3;CCNL1;PKD1
artery morphogenesis (GO:0048844),5/30,0.01555659746473132,1,0,0,3.333333333333333,13.877568186921728,PDGFRB;NOTCH1;HPGD;HEY2;NOG
positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway (GO:1900740),5/30,0.01555659746473132,1,0,0,3.333333333333333,13.877568186921728,MAPK8;BAD;NMT1;DYNLL1;BBC3
regulation of transcription from RNA polymerase II promoter in response to hypoxia (GO:0061418),9/78,0.01561152922012694,1,0,0,2.3076923076923075,9.599412888736792,PSMA4;PSMD11;NOTCH1;PSMD14;CITED2;PSMA2;UBC;ELOB;NFE2L2
response to cadmium ion (GO:0046686),5/31,0.017804675725432068,1,0,0,3.225806451612903,12.994497338628113,MAPK9;MAPK8;NCF1;MT1M;MT3
sarcomere organization (GO:0045214),5/31,0.017804675725432068,1,0,0,3.225806451612903,12.994497338628113,KRT19;OBSCN;TNNT1;ANKRD1;TCAP
positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus (GO:1901522),4/21,0.018817877540921516,1,0,0,3.8095238095238093,15.135039725595712,CREB3;NOTCH1;MT3;NFE2L2
ventricular septum morphogenesis (GO:0060412),4/21,0.018817877540921516,1,0,0,3.8095238095238093,15.135039725595712,NOTCH1;CITED2;NOG;HEY2
meiosis I (GO:0007127),4/21,0.018817877540921516,1,0,0,3.8095238095238093,15.135039725595712,PTTG1;PTTG2;MEIKIN;BRDT
positive regulation of receptor internalization (GO:0002092),4/21,0.018817877540921516,1,0,0,3.8095238095238093,15.135039725595712,ATAD1;APELA;EGF;PCSK9
protein import into peroxisome matrix (GO:0016558),3/12,0.01953037772410442,1,0,0,5,19.678920967843133,PEX5L;PEX10;PEX1
positive regulation of ruffle assembly (GO:1900029),3/12,0.01953037772410442,1,0,0,5,19.678920967843133,PLEKHM1;DEF8;NDEL1
termination of RNA polymerase II transcription (GO:0006369),8/68,0.019756700283294275,1,0,0,2.352941176470588,9.233559036043712,CPSF7;DDX39B;RBM8A;PABPN1;SRSF4;SNRPD3;SRSF11;SNRPB
I-kappaB kinase/NF-kappaB signaling (GO:0007249),7/57,0.02292540668324337,1,0,0,2.4561403508771926,9.273181280311968,UBC;TLR9;IKBKG;RBCK1;CD14;BIRC2;TLR2
regulation of ERK1 and ERK2 cascade (GO:0070372),20/247,0.023531233611628212,1,0,0,1.6194331983805668,6.071945992605025,EPHB6;CCR1;PDGFRB;CD74;NTRK2;NOTCH1;PLA2G2A;HTR2C;BRAF;DUSP26;MT3;APELA;DLG1;DUSP10;ERBB3;P2RY1;GCNT2;ITGB1BP1;CCL18;CCL16
regulation of neuron differentiation (GO:0045664),9/84,0.02424035252289281,1,0,0,2.142857142857143,7.970864088992445,DISP3;BRINP2;MMD;ZC4H2;FBXO7;DKK1;BMP7;CDK5RAP3;NDEL1
glycerolipid catabolic process (GO:0046503),3/13,0.02446267254220388,1,0,0,4.615384615384615,17.125877967461363,ABHD2;PNPLA6;ENPP6
muscle cell development (GO:0055001),3/13,0.02446267254220388,1,0,0,4.615384615384615,17.125877967461363,MEGF10;HEY2;ANK2
regulation of necrotic cell death (GO:0010939),3/13,0.02446267254220388,1,0,0,4.615384615384615,17.125877967461363,UBC;MT3;BIRC2
tRNA modification (GO:0006400),7/58,0.024986400078400667,1,0,0,2.413793103448276,8.90550523896042,TRMT112;TYW5;TRMT1;MTO1;FTSJ1;ALKBH8;TARBP1
cholesterol homeostasis (GO:0042632),7/58,0.024986400078400667,1,0,0,2.413793103448276,8.90550523896042,EHD1;DISP3;ACSM3;INSIG1;PCSK9;LCAT;CD24
sterol homeostasis (GO:0055092),7/58,0.024986400078400667,1,0,0,2.413793103448276,8.90550523896042,EHD1;DISP3;ACSM3;INSIG1;PCSK9;LCAT;CD24
protein K48-linked deubiquitination (GO:0071108),4/23,0.025734894590821872,1,0,0,3.4782608695652173,12.730112841155169,OTUB2;USP27X;USP5;TNFAIP3
