Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes
Vitamin B6 metabolism,3/6,0.0022241766503380937,0.6850464083041329,0,0,10,61.08368476639271,PHOSPHO2;PSAT1;AOX1
Drug metabolism,12/108,0.007714400432695527,1,0,0,2.222222222222222,10.8103700237306,ALDH3A1;CYP2B6;UCK1;GSTA3;UGT2B15;GSTA1;AOX1;FMO1;NME4;UGT1A3;CYP2C19;NME1
Cholesterol metabolism,7/50,0.011679559996652222,1,0,0,2.8000000000000003,12.459761926671213,ABCA1;OSBPL5;APOH;ANGPTL8;LCAT;APOA4;CD36
Hippo signaling pathway,15/160,0.014391384367797242,1,0,0,1.875,7.952110423592947,WWTR1;CRB1;WNT5B;SOX2;MOB1B;LATS1;LATS2;PPP2R1B;PPP2R2B;ID2;ID1;PPP2R2D;SNAI2;AJUBA;TP73
Chemical carcinogenesis,8/82,0.05220786888704381,1,0,0,1.951219512195122,5.7610186351061445,ALDH3A1;GSTA3;UGT2B15;GSTA1;KYAT3;UGT1A3;CYP2C19;SULT1A2
Citrate cycle (TCA cycle),4/30,0.06063113352204076,1,0,0,2.6666666666666665,7.474524702251736,PC;IDH3G;ACO2;PCK1
Glyoxylate and dicarboxylate metabolism,4/30,0.06063113352204076,1,0,0,2.6666666666666665,7.474524702251736,GCSH;HYI;ACO2;ACSS1
Circadian rhythm,4/31,0.06697579978121662,1,0,0,2.5806451612903225,6.976577863571356,BHLHE41;RORA;NR1D1;NPAS2
Glucagon signaling pathway,9/103,0.07261232571253211,1,0,0,1.7475728155339805,4.583220458866479,PPP4C;PRMT1;PDE3B;EP300;ITPR2;PPP4R3A;PCK1;FOXO1;GCK
Metabolism of xenobiotics by cytochrome P450,7/74,0.07622483813171252,1,0,0,1.8918918918918919,4.869858207482098,ALDH3A1;CYP2B6;GSTA3;CYP2S1;UGT2B15;GSTA1;UGT1A3
"Valine, leucine and isoleucine degradation",5/48,0.0904238200779985,1,0,0,2.0833333333333335,5.006765728864707,AGXT2;IVD;AOX1;HSD17B10;BCAT2
JAK-STAT signaling pathway,12/162,0.11279258616386696,1,0,0,1.4814814814814814,3.23289580381604,IL6;EPO;IL23A;IL2RB;IFNK;OSM;EP300;AOX1;PIAS2;IRF9;IFNA10;CRLF2
Long-term potentiation,6/67,0.11758211344423333,1,0,0,1.7910447761194028,3.8339433163846697,GRIA2;GRM5;RPS6KA1;EP300;ITPR2;GRIN2B
Protein processing in endoplasmic reticulum,12/165,0.12430307174535642,1,0,0,1.4545454545454544,3.0327746449727915,ERN1;PRKN;HSPA8;HSP90AB1;SAR1B;WFS1;UBE2D2;EDEM2;ATF6;SEC31B;CKAP4;DDOST
Ferroptosis,4/40,0.1379595947094308,1,0,0,2,3.961588857315027,TF;LPCAT3;SAT1;SLC39A14
Folate biosynthesis,3/26,0.1385193121264188,1,0,0,2.3076923076923075,4.561720443090936,MOCOS;AKR1C3;GPHN
Maturity onset diabetes of the young,3/26,0.1385193121264188,1,0,0,2.3076923076923075,4.561720443090936,NR5A2;GCK;NKX2-2
Legionellosis,5/55,0.13937991022954382,1,0,0,1.8181818181818181,3.582821649166955,NFKBIA;HSPA8;IL6;SAR1B;CD14
Chagas disease (American trypanosomiasis),8/103,0.1436496829254225,1,0,0,1.553398058252427,3.0141789527471206,NFKBIA;IKBKB;C1QB;GNA14;IL6;PPP2R1B;PPP2R2B;PPP2R2D
Fat digestion and absorption,4/41,0.14721479282726987,1,0,0,1.951219512195122,3.7382684546071134,ABCA1;APOA4;CD36;AGPAT2
Alzheimer disease,12/171,0.14921456820265613,1,0,0,1.4035087719298245,2.6699929177125634,ERN1;PSENEN;RTN3;NDUFA6;ATP5PB;ATP5MC3;ITPR2;COX6A1;ATP5F1C;ATF6;GRIN2B;HSD17B10
C-type lectin receptor signaling pathway,8/104,0.14927432324369838,1,0,0,1.5384615384615385,2.9261070310469814,NFKBIA;IKBKB;IL6;IL23A;BCL3;ITPR2;MAP3K14;IRF9
Chemokine signaling pathway,13/190,0.1570723918012497,1,0,0,1.368421052631579,2.533013717177419,CXCL9;PXN;CXCR6;PIK3R6;CXCL5;NFKBIA;IKBKB;GNB3;RAC3;CCR6;CCL27;CCR2;CCL26
PPAR signaling pathway,6/74,0.1647057705275506,1,0,0,1.6216216216216217,2.924748009429989,ACOX1;CD36;PLIN1;PCK1;ACSBG2;PPARD
Thiamine metabolism,2/15,0.17091154886530205,1,0,0,2.6666666666666665,4.710957638403321,AK2;AK8
Insulin resistance,8/108,0.17280406327587397,1,0,0,1.4814814814814814,2.6008843089787628,NFKBIA;IKBKB;IL6;PPP1R3B;RPS6KA1;CD36;PCK1;FOXO1
Pertussis,6/76,0.17945756311992533,1,0,0,1.5789473684210524,2.712341867627267,C4B;C1QB;IL6;IL23A;CD14;CXCL5
IL-17 signaling pathway,7/93,0.18346339954975327,1,0,0,1.5053763440860215,2.552727015512764,IKBKB;NFKBIA;IL6;HSP90AB1;SRSF1;DEFB4B;CXCL5
TNF signaling pathway,8/110,0.18515647013830153,1,0,0,1.4545454545454544,2.453169493595112,RPS6KA4;NFKBIA;IKBKB;IL6;MLKL;BCL3;MAP3K14;CXCL5
Basal transcription factors,4/45,0.18643368284604128,1,0,0,1.7777777777777777,2.98609722860718,GTF2A1L;TBPL1;TAF9B;TAF2
Purine metabolism,9/129,0.19716308132492769,1,0,0,1.3953488372093021,2.265661491233072,GUCY2C;ENTPD3;PDE3B;AK2;PDE6D;NME4;PDE8B;AK8;NME1
Mucin type O-glycan biosynthesis,3/31,0.20065196718317338,1,0,0,1.9354838709677418,3.1087420224475646,GALNT15;B3GNT6;GCNT4
Cytosolic DNA-sensing pathway,5/63,0.20636211070548938,1,0,0,1.5873015873015872,2.504956879983314,IKBKB;NFKBIA;IL6;IFNA10;POLR2L
Cysteine and methionine metabolism,4/47,0.20718336704116536,1,0,0,1.7021276595744679,2.679406036964871,AGXT2;KYAT3;MAT2B;BCAT2
Sphingolipid metabolism,4/47,0.20718336704116536,1,0,0,1.7021276595744679,2.679406036964871,UGCG;NEU4;NEU1;SGMS2
Cytokine-cytokine receptor interaction,18/294,0.2199667352453474,1,0,0,1.2244897959183672,1.8542191193784556,ACVRL1;CXCL9;TNFSF15;EPO;OSM;TNFRSF10B;CXCR6;CXCL5;IL6;IL23A;IL2RB;IFNK;CCR6;CCL27;CCR2;CCL26;CRLF2;IFNA10
"Neomycin, kanamycin and gentamicin biosynthesis",1/5,0.22623900494711593,1,0,0,4,5.9446531780071785,GCK
Other glycan degradation,2/18,0.22645148897005046,1,0,0,2.222222222222222,3.3004989638462865,NEU4;NEU1
Peroxisome,6/83,0.23481354624178025,1,0,0,1.4457831325301203,2.0948869879664898,SLC25A17;ACOX1;MPV17L;ECI2;PXMP4;PEX26
Influenza A,11/171,0.23723836295709655,1,0,0,1.286549707602339,1.8509460603998853,NFKBIA;IKBKB;HSPA8;IL6;NXF2;XPO1;EP300;TNFRSF10B;IRF9;AGFG1;IFNA10
Pentose and glucuronate interconversions,3/34,0.24057000906593404,1,0,0,1.7647058823529411,2.5142543537821203,RPEL1;UGT2B15;UGT1A3
