Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes
Toxoplasmosis,12/113,0.010911753711691168,1,0,0,2.1238938053097343,9.595571147352807,MAPK9;MAPK8;HLA-DMA;BAD;LAMA3;IL12B;HLA-DRA;IKBKG;CCR5;BIRC2;GNAI1;TLR2
Th1 and Th2 cell differentiation,10/92,0.0165088392043829,1,0,0,2.1739130434782608,8.921433330782813,MAPK9;MAPK8;HLA-DMA;NOTCH1;IL12B;HLA-DRA;PRKCQ;IKBKG;CD3D;RUNX3
Measles,13/138,0.020953178928914133,1,0,0,1.8840579710144927,7.282759966459859,BAD;MX1;TNFAIP3;CD3D;BBC3;MAPK9;MAPK8;CCND2;TLR9;IL12B;IKBKG;IFNA21;TLR2
Tuberculosis,15/179,0.03519538238673419,1,0,0,1.6759776536312847,5.609229699181464,CAMK2B;CD74;ITGAM;ARHGEF12;CALML5;BAD;MAPK9;MAPK8;HLA-DMA;TLR9;IL12B;HLA-DRA;CD14;IFNA21;TLR2
Toll-like receptor signaling pathway,10/104,0.0352278515074907,1,0,0,1.9230769230769231,6.434458217753877,MAPK9;CXCL9;MAPK8;CCL3L3;TLR9;IL12B;CD14;IKBKG;IFNA21;TLR2
Thyroid cancer,5/37,0.03578300819815846,1,0,0,2.7027027027027026,9.000762512391741,TCF7L2;GADD45B;NCOA4;CCDC6;BRAF
Hematopoietic cell lineage,9/97,0.05352964797421329,1,0,0,1.8556701030927836,5.432510618038967,HLA-DMA;ITGAM;CD8B;IL11RA;HLA-DRA;CD14;CD1C;CD24;CD3D
Colorectal cancer,8/86,0.06555404339756293,1,0,0,1.8604651162790697,5.069544905119016,MAPK9;TCF7L2;MAPK8;GADD45B;EGF;BAD;BRAF;BBC3
Human immunodeficiency virus 1 infection,16/212,0.0666422873441518,1,0,0,1.5094339622641508,4.088175030672856,CALML5;BAD;CUL1;GNG11;CD3D;GNAI1;GNG13;MAPK9;MAPK8;WEE2;AP1G2;ELOB;IKBKG;CCR5;TLR2;IFNA21
Chagas disease (American trypanosomiasis),9/103,0.07261232571253211,1,0,0,1.7475728155339805,4.583220458866479,MAPK9;MAPK8;CCL3L3;TLR9;IL12B;IKBKG;CD3D;GNAI1;TLR2
Pancreatic cancer,7/75,0.08063866676431897,1,0,0,1.8666666666666667,4.699850414889133,MAPK9;MAPK8;GADD45B;EGF;BAD;BRAF;IKBKG
